Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks ETE delay (s),Average ETE delay (s),Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average wainting time (s),Generated tasks,Tasks successfully executed,Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(device dead)(%),Tasks failed rate(mobility)(%),Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (dBW),Average energy consumption (dBW/Data center),Average energy consumption (dBW/Task),Cloud energy consumption (dBW),Average Cloud energy consumption (dBW/Data center),Edge energy consumption (dBW),Average Edge energy consumption (dBW/Data center),Mist energy consumption (dBW),Average Mist energy consumption (dBW/Device),Energy consumption (W),Average energy consumption (W/Data center),Average energy consumption (W/Task),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,TASK_CLF_Q_LEARNING,100,2545.4521,1.5098,2002.5305,1.1877,367.8215,0.2182,1686,1686,100,0,0,0,0,0,0,0,0,41,41,0,0,1645,1645,174.0,41.0,174.0,836.5999999999995,0.0,0.0,1024.0,0.8225,0,0,1.168,187.2618,165.7389,154.9932,184.2469,171.6942,-31.9382,-45.7403,184.2561,164.2561,5323283213290950700,37487909952753176,3157344729116815.5,2658828204178458100,147712678009914336,0.0006,0,2664455009112492500,26644550091124924,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,200,5325.3239,1.627,4257.5575,1.3,743.9433,0.2272,3276,3273,99.9084,0.0611,0,0.0305,3,2,0,1,0,60,59,0,0,3216,3214,295.0,60.0,295.0,1239.2999999999965,0.0,0.0,1014.7435028248589,0.9863,0,0,1.1934,188.1625,164.3244,153.0104,185.1246,172.5719,-31.8709,-45.673,185.1796,162.1693,6550137922391229400,27066685629715824,2000042113707245.8,3254332317940183000,180796239885565728,0.0006,0,3295805604451046400,16479028022255232,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,300,7912.4761,1.6076,6234.1282,1.263,1104.971,0.2239,4936,4922,99.7164,0.2836,0,0,14,14,0,0,0,92,92,0,0,4844,4830,500.0,92.0,500.0,1899.2999999999902,0.0,0.0,1005.9646707070707,1.0174,0,0,1.1598,190.3715,165.0312,153.4377,187.3592,174.8065,-31.8046,-45.6067,187.3632,162.592,10893035117938332000,31850979877012664,2206854764574216.2,5444041956807180300,302446775378176700,0.0007,0,5448993161131150300,18163310537103836,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,400,10506.9212,1.6438,8256.596,1.2815,1502.7241,0.2332,6534,6392,97.8268,2.1732,0,0,142,142,0,0,0,106,106,0,0,6428,6286,813.0,106.0,813.0,2229.5499999999906,0.0,0.0,1015.6031160311603,1.0069,0,0,1.1126,190.4173,163.963,152.2655,187.4034,174.8507,-31.8709,-45.673,187.4105,161.3899,11008439186863684000,24905971011003808,1684793263982810.5,5499681150590068700,305537841699448260,0.0006,0,5508758036273614800,13771895090684038,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,500,13658.7341,1.7415,10633.5656,1.351,1846.8181,0.2346,8088,7843,96.9708,3.0168,0,0.0124,245,244,0,1,0,197,197,0,0,7891,7646,1082.0,230.0,1082.0,4077.750000000047,0.0,0.0,953.1405318095349,1.1066,0.0128,0,1.1991,193.6208,166.2808,154.543,190.6089,178.0562,-31.8709,-45.673,190.6121,163.6224,23018834777544544000,42470174866318344,2846399749912766.5,11505159174097367000,639175509672075900,0.0006,0,11513675603447177000,23027351206894356,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,600,16131.4313,1.7157,11378.3946,1.2034,3001.2992,0.3174,9760,9402,96.332,3.5963,0,0.0717,358,351,0,7,0,309,303,0,0,9451,9099,1371.0,403.0,1371.0,6327.700000000094,0.0,0.0,858.2549903837296,0.97,0.0871,0,1.0352,195.7727,167.6974,155.8796,192.7445,180.1918,-31.8046,-45.6067,192.7803,164.9988,37780873252091640000,58848712230672336,3872181331566223.5,18812609490675368000,1045144971704187140,0.0007,0,18968263761416280000,31613772935693796,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,700,21880.5369,2.0026,13377.1291,1.2151,7275.6346,0.6609,11514,10926,94.8932,5.0808,0,0.0261,588,585,0,3,0,157,156,0,0,11357,10770,1205.0,157.0,1205.0,3498.9500000000244,0.0,0.0,1020.0343015214384,1.0632,0.0085,0,1.1268,192.5271,163.823,151.9156,189.5006,176.9479,-31.8046,-45.6067,189.5329,161.0819,17894050040474579000,24115970404952264,1554382387115582,8913729218220435500,495207178790024190,0.0007,0,8980320822254142500,12829029746077346,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,800,30074.7628,2.5027,15757.0961,1.2991,11253.3288,0.9278,13008,12017,92.3816,7.4646,0,0.1538,991,971,0,20,0,560,540,0,0,12448,11477,2825.0,975.0,2825.0,11248.54999999987,0.0,0.0,794.2316121122245,1.0886,0.2178,0,1.1409,198.7826,169.5294,157.6408,195.7141,183.1614,-31.8709,-45.673,195.8297,166.7988,75553866992188360000,89731433482408976,5808708156545580,37274247217100280000,2070791512061126910,0.0006,0,38279619775088075000,47849524718860096,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,900,36386.2698,2.7578,17409.8176,1.3119,16160.5979,1.2177,14502,13194,90.9806,8.8815,0,0.1379,1308,1288,0,20,0,501,482,0,0,14001,12712,2389.0,899.0,2389.0,10063.349999999942,0.0,0.0,806.7379197074983,1.1294,0.18,0,1.1785,198.0056,168.2651,156.3923,194.9185,182.3658,-31.8709,-45.673,195.0708,165.5284,63177783050963526000,67067710245184208,4357388995859268,31034974493975010000,1724165249665278460,0.0006,0,32142808556988514000,35714231729987240,0,0,0,-1.0,[],[]
ALL,TASK_CLF_Q_LEARNING,1000,43723.6485,2.9204,18319.4142,1.2139,21406.9943,1.4185,16554,14972,90.4434,9.3512,0,0.2054,1582,1548,0,34,0,667,634,0,0,15887,14338,3402.0,1377.0,3402.0,13303.699999999524,0.0,0.0,779.4706465179521,1.1226,0.2621,0,1.165,199.5362,169.3575,157.3477,196.4673,183.9146,-31.8709,-45.673,196.5836,166.5836,89870589467337970000,86248166475372320,5429590953802439,44333639553886390000,2462979975215910400,0.0006,0,45536949913451580000,45536949913451576,0,0,0,-1.0,[],[]
