Orchestration algorithm,Edge devices count,Average ETE delay (s),Average execution delay (s),Average energy consumption (W/Data center),Tasks success rate(%),Tasks failed rate(delay)(%),Tasks failed rate(mobility)(%),Total tasks executed (Cloud),Total tasks executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Cloud),Tasks successfully executed (Edge),Tasks successfully executed (Mist)
DDLDO,100,2.6971,0.3599,304680570435494720,92.0221,7.8199,0.158,604,321,341,546,281,338
DDLDO,200,2.8521,0.3923,353787182169103360,91.1648,8.7163,0.1189,1330,530,664,1212,441,648
DDLDO,300,2.8117,0.3676,302185956356060160,91.9568,7.7532,0.2901,1850,761,1181,1675,673,1139
DDLDO,400,2.6241,0.3531,274531678048852288,90.778,8.9455,0.2765,2432,976,1656,2162,815,1620
DDLDO,500,2.8206,0.3817,347340115288681790,91.7771,7.702,0.5208,3140,1184,2012,2844,997,1974
DDLDO,600,2.8505,0.3925,374798683013344700,91.8357,7.8615,0.3029,3675,1415,2504,3402,1151,2421
DDLDO,700,3.0251,0.3834,349430689962636160,90.2032,9.3905,0.4063,4101,1467,3292,3646,1212,3134
DDLDO,800,3.77,0.4099,390107186260663420,89.6538,9.8615,0.4847,4592,1617,3901,4159,1286,3619
DDLDO,900,4.1662,0.3852,326537437575663740,88.9279,10.5808,0.4913,4766,1788,4844,4206,1468,4462
DDLDO,1000,5.0598,0.4258,387194955640717700,88.6098,10.7267,0.6635,5502,1904,5254,4834,1495,4889
TASK_CLF_Q_LEARNING,100,1.588,1.2836,7727901333259268,100,0,0,10,14,1240,10,14,1240
TASK_CLF_Q_LEARNING,200,1.3418,1.0199,13544796803667034,99.8022,0.1978,0,33,19,2476,33,19,2471
TASK_CLF_Q_LEARNING,300,1.4577,1.1331,12761253824529238,99.8688,0.1312,0,42,29,3741,42,29,3736
TASK_CLF_Q_LEARNING,400,1.3171,1.0076,15517064682750546,99.8021,0.1979,0,73,43,4938,73,43,4928
TASK_CLF_Q_LEARNING,500,1.4215,1.0894,12870546257106804,99.7788,0.2212,0,71,49,6208,71,49,6194
TASK_CLF_Q_LEARNING,600,1.491,1.1273,11143284387333730,99.4073,0.5664,0.0263,73,50,7469,72,50,7425
TASK_CLF_Q_LEARNING,700,1.6902,0.9779,11443856091999140,97.2824,2.6838,0.0338,86,116,8666,85,115,8427
TASK_CLF_Q_LEARNING,800,2.4269,1.1206,12017730318095912,95.5632,4.417,0.0198,91,69,9960,91,69,9511
TASK_CLF_Q_LEARNING,900,3.1414,1.0812,12778631420866778,95.4673,4.5151,0.0176,113,98,11151,113,98,10636
TASK_CLF_Q_LEARNING,1000,3.6951,1.085,34673623446928772,94.7036,5.1462,0.1502,288,139,12223,272,139,11569
WEIGHT_GREEDY,100,3.3599,0.4408,161691914211885696,90.6793,9.2417,0.079,703,310,253,637,271,240
WEIGHT_GREEDY,200,3.3065,0.4429,113093654274797696,90.6275,9.0945,0.278,1091,578,849,960,521,801
WEIGHT_GREEDY,300,3.2536,0.5115,96653607387887360,89.175,10.5885,0.2365,1456,708,1642,1263,627,1504
WEIGHT_GREEDY,400,3.2431,0.6024,99415019484739552,92.2332,7.5889,0.1779,1704,858,2498,1540,780,2347
WEIGHT_GREEDY,500,3.1056,0.586,61401759165481520,89.5261,10.1738,0.3002,1835,923,3572,1588,795,3284
WEIGHT_GREEDY,600,3.2008,0.5882,57008938630215240,90.0079,9.663,0.3291,2176,1033,4387,1916,899,4022
WEIGHT_GREEDY,700,3.5346,0.6415,46445800596487136,87.455,12.2748,0.2703,2365,1056,5459,2007,874,4885
WEIGHT_GREEDY,800,4.004,0.5995,42095123391340016,86.9196,12.8433,0.2371,2394,1137,6591,1988,936,5874
WEIGHT_GREEDY,900,4.8734,0.6965,37854723873333752,86.449,13.1736,0.3774,2405,1158,7831,1964,962,6924
WEIGHT_GREEDY,1000,5.6847,0.6703,38505955578750232,87.9553,11.6646,0.3801,2570,1220,8838,2168,1032,7907
