Orchestration algorithm,Vehicle speed,Average ETE delay (s),Average energy consumption (W/Data center),Tasks success rate(%)
DDLDO,30.0,4.9155,3.338269721467745e+17,88.9741
DDLDO,40.0,4.9285,3.335753566260127e+17,89.1163
DDLDO,50.0,4.8838,3.312328696981541e+17,88.6658
DDLDO,60.0,4.8752,3.319480514196928e+17,88.65
DDLDO,70.0,4.8781,3.316669053488837e+17,88.4129
DDLDO,80.0,4.9307,3.3825724800426195e+17,88.484
DDLDO,90.0,4.9285,3.347404449696234e+17,88.4129
DDLDO,100.0,4.8881,3.434365166135505e+17,88.4998
DDLDO,110.0,4.8728,3.384341630252378e+17,88.3576
DDLDO,120.0,4.8711,3.3627019657063194e+17,88.3101
RANDOM_VM,30.0,6.9121,3.037968894220238e+17,85.3551
RANDOM_VM,40.0,6.8647,3.0366642968120666e+17,85.4341
RANDOM_VM,50.0,6.8725,3.075105671786652e+17,85.0783
RANDOM_VM,60.0,6.8509,2.9609407011094816e+17,84.9597
RANDOM_VM,70.0,6.8322,2.9024819767528506e+17,84.8569
RANDOM_VM,80.0,6.7814,2.970950612517268e+17,84.7383
RANDOM_VM,90.0,6.7776,2.923947883526532e+17,84.8094
RANDOM_VM,100.0,6.8031,2.8153936684724912e+17,84.6829
RANDOM_VM,110.0,6.7838,2.98667885131195e+17,84.8806
RANDOM_VM,120.0,6.8073,2.8521652738339328e+17,84.588
ROUND_ROBIN,30.0,6.6483,1.4975111126235485e+17,81.6698
ROUND_ROBIN,40.0,6.6242,1.4500492870167213e+17,81.5827
ROUND_ROBIN,50.0,6.6348,1.518829721870315e+17,80.7826
ROUND_ROBIN,60.0,6.6313,1.488934678288911e+17,81.2421
ROUND_ROBIN,70.0,6.6023,1.4911199387503453e+17,81.2262
ROUND_ROBIN,80.0,6.5789,1.53036764526236e+17,80.7985
ROUND_ROBIN,90.0,6.584,1.566683177128781e+17,81.1549
ROUND_ROBIN,100.0,6.5521,1.4646530780820006e+17,80.8777
ROUND_ROBIN,110.0,6.5515,1.5284399518417962e+17,81.4639
ROUND_ROBIN,120.0,6.4897,1.5651168007409978e+17,80.9094
TASK_CLF_Q_LEARNING,30.0,3.7757,4.485333427724417e+16,95.2566
TASK_CLF_Q_LEARNING,40.0,3.7707,3.5480114039253304e+16,95.2487
TASK_CLF_Q_LEARNING,50.0,3.7712,3.9870245698039704e+16,95.2724
TASK_CLF_Q_LEARNING,60.0,3.7636,2.460261853271994e+16,95.2011
TASK_CLF_Q_LEARNING,70.0,3.7566,3.630808862756612e+16,95.2803
TASK_CLF_Q_LEARNING,80.0,3.7559,4.3117919680274664e+16,95.2407
TASK_CLF_Q_LEARNING,90.0,3.7639,2.9446287104536652e+16,95.2487
TASK_CLF_Q_LEARNING,100.0,3.7797,1.7605717033225808e+16,95.2645
TASK_CLF_Q_LEARNING,110.0,3.7085,4.2682719679161544e+16,95.1061
TASK_CLF_Q_LEARNING,120.0,3.7247,3.4687907169238244e+16,95.1615
TRADE_OFF,30.0,6.3904,2.4926976921243075e+17,82.352
TRADE_OFF,40.0,6.3659,2.4272847518142198e+17,82.2968
TRADE_OFF,50.0,6.319,2.4737891968778038e+17,82.4467
TRADE_OFF,60.0,6.3306,2.5481904436510998e+17,82.2415
TRADE_OFF,70.0,6.3586,2.500774348043605e+17,82.2178
TRADE_OFF,80.0,6.3126,2.47526242246469e+17,81.7522
TRADE_OFF,90.0,6.3104,2.4315929514996758e+17,82.1942
TRADE_OFF,100.0,6.2846,2.4197340668251635e+17,82.0916
TRADE_OFF,110.0,6.2255,2.4026878618917546e+17,81.4365
TRADE_OFF,120.0,6.1959,2.4166364974159408e+17,81.6654
TRADI_POLLING,30.0,6.8222,1.2896606619537427e+17,81.2135
TRADI_POLLING,40.0,6.8529,1.2144261212674742e+17,81.0397
TRADI_POLLING,50.0,6.8284,1.2257997363222925e+17,81.3004
TRADI_POLLING,60.0,6.8126,1.319057083178313e+17,81.4268
TRADI_POLLING,70.0,6.7448,1.32408112528736e+17,81.1819
TRADI_POLLING,80.0,6.7737,1.3454036983310304e+17,81.2056
TRADI_POLLING,90.0,6.7273,1.2925099499436602e+17,81.332
TRADI_POLLING,100.0,6.704,1.3473998451752515e+17,81.0318
TRADI_POLLING,110.0,6.7027,1.2641308720755517e+17,80.3049
TRADI_POLLING,120.0,6.6631,1.3081708978011797e+17,80.5024
WEIGHT_GREEDY,30.0,5.8006,3.5858186486169664e+16,88.0079
WEIGHT_GREEDY,40.0,5.7699,3.631108353327631e+16,88.0079
WEIGHT_GREEDY,50.0,5.7669,3.859406268130918e+16,88.0791
WEIGHT_GREEDY,60.0,5.7366,3.5250628400265336e+16,87.8735
WEIGHT_GREEDY,70.0,5.7686,3.809289954331851e+16,87.834
WEIGHT_GREEDY,80.0,5.803,4.080026899479117e+16,87.4704
WEIGHT_GREEDY,90.0,5.7208,3.599901859314094e+16,87.5968
WEIGHT_GREEDY,100.0,5.7101,3.9007325158034664e+16,87.7945
WEIGHT_GREEDY,110.0,5.6845,3.992997641156398e+16,87.8024
WEIGHT_GREEDY,120.0,5.683,3.8239942400794936e+16,87.3597
